专家编码,平均分,标准差,原始分1,原始分2,原始分3,原始分4,原始分5,原始分6,原始分7,原始分8,原始分9,原始分10,原始分11,原始分12,原始分13,原始分14,原始分15,原始分16,原始分17,原始分18,原始分19,原始分20,原始分21,原始分22,原始分23,原始分24,原始分25,原始分26,原始分27,原始分28,原始分29,原始分30,原始分31,原始分32,原始分33,原始分34,原始分35,原始分36,原始分37,原始分38,原始分39,原始分40,原始分41,原始分42,原始分43,原始分44,原始分45,原始分46,原始分47,原始分48,原始分49,原始分50,原始分51,原始分52,原始分53,原始分54,原始分55,原始分56,原始分57,原始分58,原始分59,原始分60,原始分61,原始分62,原始分63,原始分64,原始分65,原始分66,原始分67,原始分68,原始分69,原始分70,原始分71,原始分72,原始分73,原始分74,原始分75,原始分76,原始分77,原始分78,原始分79,原始分80,原始分81,原始分82,原始分83,原始分84,原始分85,原始分86,原始分87,原始分88,原始分89,原始分90,原始分91,原始分92,原始分93,原始分94,原始分95,原始分96,原始分97,原始分98,原始分99,原始分100,原始分101,原始分102,原始分103,原始分104,原始分105,原始分106,原始分107,原始分108,原始分109
P256,45.66990291262136,13.117409737664511,75.0,66.0,60.0,60.0,75.0,68.0,65.0,50.0,66.0,50.0,63.0,68.0,50.0,68.0,44.0,32.0,50.0,50.0,10.0,40.0,10.0,46.0,45.0,44.0,45.0,48.0,40.0,38.0,40.0,45.0,25.0,40.0,58.0,20.0,46.0,50.0,42.0,52.0,20.0,25.0,45.0,42.0,38.0,50.0,43.0,42.0,20.0,40.0,10.0,43.0,42.0,37.0,40.0,38.0,50.0,10.0,47.0,42.0,40.0,37.0,40.0,50.0,38.0,40.0,25.0,45.0,50.0,40.0,58.0,47.0,43.0,38.0,50.0,40.0,60.0,45.0,46.0,45.0,47.0,40.0,40.0,40.0,58.0,45.0,65.0,52.0,62.0,68.0,50.0,47.0,45.0,55.0,45.0,58.0,42.0,60.0,43.0,48.0,48.0,50.0,47.0,42.0,62.0,,,,,,
P266,51.78504672897196,10.637268089291357,64.0,58.0,60.0,65.0,65.0,62.0,60.0,62.0,66.0,62.0,60.0,65.0,64.0,65.0,64.0,62.0,64.0,60.0,30.0,45.0,40.0,30.0,52.0,30.0,40.0,55.0,30.0,50.0,50.0,52.0,30.0,40.0,46.0,55.0,40.0,45.0,40.0,50.0,48.0,46.0,65.0,55.0,58.0,60.0,50.0,48.0,50.0,45.0,45.0,55.0,55.0,50.0,60.0,70.0,48.0,55.0,58.0,50.0,52.0,30.0,55.0,60.0,50.0,45.0,35.0,40.0,48.0,45.0,50.0,30.0,30.0,60.0,50.0,35.0,30.0,50.0,54.0,58.0,30.0,48.0,35.0,62.0,50.0,55.0,48.0,30.0,50.0,55.0,50.0,60.0,58.0,60.0,60.0,55.0,60.0,60.0,60.0,60.0,60.0,64.0,60.0,65.0,60.0,55.0,60.0,50.0,65.0,,
P267,52.980582524271846,16.33772284905803,82.0,82.0,76.0,65.0,70.0,60.0,70.0,80.0,72.0,74.0,68.0,58.0,83.0,74.0,66.0,73.0,71.0,70.0,45.0,48.0,50.0,52.0,52.0,0.0,35.0,33.0,47.0,30.0,55.0,64.0,50.0,49.0,60.0,55.0,30.0,35.0,60.0,56.0,43.0,30.0,33.0,47.0,30.0,31.0,57.0,57.0,6.0,50.0,68.0,35.0,30.0,45.0,35.0,47.0,43.0,48.0,62.0,59.0,67.0,58.0,34.0,35.0,33.0,50.0,42.0,58.0,54.0,6.0,56.0,60.0,70.0,58.0,65.0,36.0,61.0,50.0,30.0,58.0,61.0,55.0,48.0,48.0,42.0,42.0,35.0,47.0,32.0,63.0,63.0,56.0,56.0,61.0,53.0,70.0,60.0,65.0,65.0,72.0,66.0,62.0,53.0,70.0,75.0,,,,,,
P270,50.98076923076923,17.385397716804505,71.0,66.0,65.0,60.0,75.0,70.0,60.0,73.0,62.0,60.0,72.0,60.0,63.0,69.0,75.0,78.0,55.0,67.0,56.0,65.0,62.0,75.0,58.0,39.0,50.0,48.0,45.0,41.0,40.0,59.0,63.0,45.0,52.0,26.0,48.0,15.0,40.0,23.0,48.0,22.0,55.0,60.0,30.0,53.0,46.0,60.0,20.0,58.0,45.0,20.0,40.0,62.0,28.0,38.0,54.0,35.0,60.0,18.0,70.0,40.0,48.0,43.0,35.0,50.0,15.0,47.0,40.0,72.0,50.0,20.0,65.0,38.0,25.0,36.0,18.0,45.0,15.0,5.0,18.0,36.0,50.0,57.0,32.0,48.0,50.0,58.0,66.0,72.0,70.0,68.0,52.0,78.0,60.0,60.0,50.0,70.0,70.0,68.0,66.0,60.0,65.0,67.0,66.0,65.0,,,,,
P282,76.82692307692308,14.39892276694317,88.0,90.0,95.0,85.0,95.0,83.0,90.0,95.0,83.0,87.0,89.0,85.0,90.0,83.0,80.0,90.0,89.0,88.0,85.0,81.0,86.0,78.0,79.0,72.0,85.0,76.0,82.0,78.0,71.0,78.0,85.0,77.0,76.0,10.0,79.0,79.0,60.0,75.0,88.0,81.0,71.0,82.0,36.0,72.0,20.0,85.0,75.0,81.0,78.0,45.0,86.0,88.0,58.0,82.0,69.0,75.0,61.0,85.0,65.0,45.0,75.0,79.0,80.0,76.0,30.0,72.0,79.0,80.0,55.0,78.0,65.0,69.0,58.0,75.0,72.0,86.0,58.0,79.0,88.0,92.0,79.0,61.0,70.0,77.0,81.0,82.0,83.0,81.0,83.0,81.0,83.0,82.0,90.0,82.0,80.0,85.0,82.0,78.0,86.0,77.0,88.0,81.0,85.0,82.0,,,,,
P287,46.11214953271028,20.85227787330993,80.0,79.0,83.0,72.0,72.0,68.0,80.0,81.0,62.0,70.0,55.0,61.0,64.0,53.0,79.0,75.0,61.0,59.0,80.0,37.0,52.0,51.0,79.0,43.0,64.0,80.0,30.0,52.0,61.0,48.0,51.0,39.0,4.0,53.0,37.0,9.0,22.0,3.0,42.0,56.0,59.0,9.0,61.0,58.0,48.0,31.0,38.0,40.0,24.0,26.0,51.0,24.0,19.0,11.0,48.0,30.0,62.0,39.0,21.0,39.0,59.0,64.0,30.0,22.0,62.0,55.0,5.0,41.0,59.0,10.0,38.0,41.0,34.0,25.0,32.0,33.0,47.0,47.0,10.0,0.0,37.0,51.0,7.0,12.0,33.0,25.0,24.0,43.0,35.0,35.0,27.0,39.0,60.0,36.0,42.0,62.0,60.0,70.0,53.0,67.0,71.0,63.0,56.0,55.0,62.0,64.0,46.0,,
P294,52.640776699029125,20.07527714209696,78.0,71.0,64.0,62.0,72.0,70.0,65.0,73.0,70.0,73.0,91.0,81.0,84.0,73.0,87.0,72.0,72.0,65.0,71.0,82.0,59.0,77.0,10.0,49.0,39.0,42.0,41.0,67.0,41.0,10.0,59.0,39.0,33.0,45.0,41.0,30.0,31.0,68.0,41.0,33.0,5.0,51.0,67.0,39.0,43.0,10.0,45.0,58.0,54.0,39.0,63.0,43.0,39.0,33.0,44.0,50.0,38.0,67.0,54.0,54.0,55.0,59.0,43.0,40.0,35.0,64.0,48.0,15.0,52.0,52.0,48.0,59.0,39.0,52.0,59.0,71.0,0.0,10.0,0.0,47.0,64.0,53.0,48.0,51.0,47.0,0.0,39.0,40.0,73.0,63.0,59.0,68.0,78.0,50.0,71.0,74.0,69.0,69.0,67.0,65.0,63.0,63.0,73.0,,,,,,
P297,54.39423076923077,13.038716260914505,68.0,75.0,68.0,75.0,72.0,68.0,75.0,58.0,67.0,70.0,70.0,71.0,80.0,64.0,70.0,60.0,56.0,45.0,45.0,50.0,50.0,25.0,65.0,54.0,51.0,40.0,40.0,40.0,50.0,50.0,66.0,53.0,50.0,40.0,50.0,56.0,40.0,50.0,61.0,50.0,45.0,40.0,40.0,50.0,40.0,60.0,45.0,40.0,57.0,70.0,50.0,57.0,65.0,61.0,61.0,57.0,61.0,50.0,62.0,20.0,30.0,61.0,56.0,40.0,45.0,25.0,63.0,55.0,60.0,60.0,30.0,61.0,40.0,45.0,50.0,61.0,55.0,62.0,25.0,56.0,20.0,45.0,61.0,61.0,40.0,20.0,62.0,60.0,45.0,55.0,58.0,64.0,65.0,64.0,62.0,67.0,62.0,65.0,62.0,65.0,65.0,60.0,63.0,67.0,,,,,
P322,30.423076923076923,15.287339966657422,55.0,63.0,50.0,62.0,54.0,49.0,44.0,52.0,49.0,47.0,60.0,50.0,48.0,45.0,38.0,40.0,38.0,38.0,53.0,43.0,38.0,50.0,30.0,25.0,13.0,6.0,20.0,8.0,32.0,0.0,20.0,15.0,28.0,27.0,31.0,32.0,0.0,8.0,20.0,39.0,23.0,5.0,20.0,12.0,23.0,22.0,17.0,23.0,25.0,33.0,44.0,15.0,39.0,18.0,22.0,23.0,29.0,35.0,37.0,31.0,21.0,0.0,38.0,21.0,39.0,17.0,12.0,24.0,17.0,30.0,10.0,41.0,13.0,24.0,7.0,40.0,3.0,1.0,13.0,12.0,9.0,36.0,39.0,20.0,38.0,37.0,34.0,55.0,32.0,20.0,28.0,38.0,39.0,44.0,41.0,41.0,44.0,37.0,27.0,34.0,54.0,43.0,39.0,36.0,,,,,
P334,47.970588235294116,21.5679703311417,78.0,67.0,61.0,71.0,76.0,67.0,66.0,86.0,71.0,67.0,70.0,73.0,74.0,70.0,67.0,75.0,63.0,67.0,62.0,30.0,46.0,7.0,15.0,49.0,32.0,68.0,12.0,26.0,22.0,36.0,50.0,10.0,53.0,30.0,20.0,33.0,38.0,62.0,40.0,51.0,50.0,0.0,38.0,45.0,54.0,30.0,66.0,40.0,58.0,47.0,57.0,38.0,53.0,30.0,20.0,15.0,36.0,36.0,50.0,0.0,45.0,43.0,38.0,43.0,5.0,51.0,20.0,35.0,12.0,0.0,3.0,51.0,60.0,20.0,56.0,40.0,52.0,61.0,20.0,6.0,60.0,68.0,65.0,69.0,71.0,66.0,74.0,73.0,57.0,49.0,52.0,61.0,58.0,64.0,76.0,68.0,69.0,50.0,70.0,70.0,58.0,60.0,,,,,,,
P336,41.89320388349515,14.616611971207538,70.0,65.0,60.0,63.0,60.0,60.0,55.0,50.0,62.0,66.0,55.0,57.0,72.0,15.0,45.0,40.0,48.0,35.0,41.0,32.0,24.0,40.0,47.0,37.0,44.0,15.0,51.0,51.0,43.0,15.0,40.0,20.0,42.0,25.0,37.0,20.0,27.0,48.0,46.0,43.0,45.0,47.0,54.0,36.0,50.0,15.0,30.0,43.0,25.0,30.0,49.0,68.0,40.0,33.0,51.0,40.0,36.0,15.0,56.0,47.0,38.0,20.0,55.0,33.0,20.0,43.0,22.0,35.0,10.0,46.0,60.0,30.0,34.0,38.0,42.0,38.0,46.0,30.0,28.0,61.0,26.0,15.0,20.0,15.0,35.0,42.0,40.0,40.0,49.0,57.0,62.0,42.0,57.0,50.0,40.0,52.0,65.0,52.0,61.0,54.0,51.0,48.0,37.0,,,,,,
P339,45.68627450980392,12.442326668031077,70.0,62.0,67.0,62.0,65.0,60.0,65.0,58.0,60.0,53.0,62.0,38.0,73.0,35.0,30.0,35.0,42.0,31.0,20.0,45.0,20.0,48.0,38.0,37.0,42.0,43.0,36.0,54.0,36.0,54.0,58.0,25.0,53.0,47.0,55.0,25.0,51.0,25.0,42.0,42.0,56.0,30.0,25.0,25.0,32.0,45.0,32.0,53.0,37.0,45.0,50.0,40.0,25.0,32.0,33.0,30.0,45.0,38.0,20.0,55.0,52.0,48.0,34.0,52.0,30.0,42.0,30.0,48.0,43.0,48.0,60.0,35.0,37.0,52.0,51.0,40.0,46.0,35.0,40.0,56.0,58.0,60.0,63.0,66.0,51.0,58.0,50.0,55.0,56.0,47.0,49.0,38.0,56.0,45.0,60.0,52.0,57.0,53.0,48.0,60.0,36.0,51.0,,,,,,,
P344,50.10576923076923,17.337270179201134,79.0,66.0,65.0,78.0,75.0,68.0,60.0,68.0,76.0,71.0,77.0,55.0,62.0,65.0,71.0,79.0,65.0,69.0,57.0,75.0,57.0,74.0,61.0,55.0,38.0,53.0,47.0,46.0,60.0,49.0,45.0,20.0,10.0,38.0,10.0,42.0,35.0,56.0,37.0,25.0,46.0,44.0,52.0,40.0,30.0,43.0,46.0,55.0,20.0,39.0,40.0,55.0,10.0,45.0,50.0,15.0,58.0,45.0,53.0,12.0,53.0,57.0,15.0,53.0,47.0,52.0,52.0,57.0,27.0,40.0,20.0,58.0,51.0,40.0,47.0,20.0,20.0,10.0,15.0,43.0,50.0,47.0,58.0,50.0,67.0,56.0,53.0,53.0,61.0,50.0,58.0,55.0,60.0,67.0,61.0,58.0,60.0,62.0,55.0,62.0,64.0,63.0,64.0,63.0,,,,,
P350,42.53398058252427,9.02373290652193,52.0,70.0,62.0,58.0,54.0,58.0,50.0,58.0,52.0,64.0,48.0,46.0,47.0,60.0,50.0,53.0,53.0,56.0,55.0,56.0,43.0,44.0,50.0,46.0,30.0,46.0,42.0,30.0,36.0,38.0,41.0,31.0,42.0,30.0,30.0,58.0,30.0,35.0,42.0,35.0,30.0,39.0,42.0,42.0,40.0,35.0,35.0,40.0,42.0,36.0,33.0,32.0,38.0,35.0,51.0,41.0,45.0,45.0,40.0,38.0,43.0,47.0,41.0,40.0,46.0,31.0,30.0,44.0,42.0,30.0,43.0,30.0,42.0,41.0,41.0,31.0,40.0,47.0,30.0,30.0,34.0,36.0,32.0,31.0,38.0,37.0,30.0,42.0,30.0,33.0,48.0,48.0,40.0,42.0,49.0,46.0,47.0,52.0,46.0,49.0,46.0,51.0,45.0,,,,,,
P356,40.4392523364486,17.65613772702642,65.0,72.0,64.0,66.0,69.0,65.0,60.0,66.0,53.0,62.0,70.0,54.0,60.0,60.0,73.0,59.0,49.0,14.0,25.0,18.0,30.0,15.0,11.0,20.0,35.0,40.0,35.0,40.0,20.0,31.0,30.0,49.0,45.0,43.0,52.0,49.0,47.0,40.0,34.0,32.0,34.0,28.0,10.0,20.0,30.0,20.0,31.0,48.0,51.0,42.0,45.0,30.0,20.0,25.0,15.0,40.0,20.0,49.0,20.0,18.0,52.0,30.0,37.0,25.0,35.0,55.0,0.0,42.0,52.0,0.0,48.0,45.0,10.0,46.0,35.0,1.0,1.0,29.0,40.0,38.0,55.0,25.0,15.0,15.0,60.0,48.0,47.0,56.0,53.0,65.0,30.0,48.0,52.0,47.0,49.0,53.0,57.0,44.0,51.0,55.0,50.0,49.0,59.0,55.0,60.0,40.0,50.0,,
P370,50.45192307692308,19.358086946970058,66.0,72.0,70.0,65.0,60.0,78.0,65.0,68.0,76.0,77.0,52.0,69.0,75.0,70.0,72.0,74.0,68.0,65.0,78.0,72.0,2.0,50.0,38.0,35.0,45.0,45.0,40.0,72.0,58.0,30.0,50.0,40.0,15.0,46.0,47.0,26.0,53.0,43.0,46.0,52.0,40.0,57.0,35.0,62.0,47.0,40.0,60.0,38.0,6.0,32.0,48.0,48.0,12.0,30.0,30.0,62.0,6.0,35.0,55.0,10.0,60.0,1.0,50.0,56.0,40.0,60.0,10.0,46.0,15.0,35.0,56.0,50.0,2.0,65.0,35.0,53.0,50.0,45.0,10.0,60.0,62.0,73.0,57.0,65.0,68.0,56.0,58.0,60.0,55.0,65.0,60.0,70.0,57.0,67.0,66.0,57.0,35.0,72.0,50.0,68.0,56.0,66.0,54.0,73.0,,,,,
P372,53.51456310679612,19.527187722415857,80.0,78.0,68.0,83.0,67.0,77.0,77.0,68.0,73.0,74.0,66.0,78.0,76.0,75.0,70.0,70.0,63.0,70.0,30.0,44.0,20.0,48.0,47.0,20.0,26.0,30.0,45.0,35.0,35.0,50.0,30.0,47.0,66.0,58.0,57.0,60.0,54.0,65.0,30.0,58.0,65.0,61.0,53.0,48.0,60.0,20.0,32.0,40.0,30.0,56.0,45.0,50.0,53.0,75.0,32.0,30.0,28.0,20.0,50.0,20.0,64.0,35.0,42.0,62.0,52.0,58.0,0.0,40.0,51.0,0.0,73.0,72.0,25.0,62.0,43.0,55.0,46.0,0.0,32.0,35.0,63.0,84.0,71.0,70.0,33.0,68.0,73.0,66.0,72.0,65.0,53.0,67.0,58.0,76.0,67.0,70.0,63.0,67.0,72.0,73.0,68.0,60.0,70.0,,,,,,
P376,45.737864077669904,11.428345535011553,58.0,67.0,67.0,69.0,68.0,63.0,50.0,51.0,60.0,57.0,63.0,63.0,60.0,50.0,60.0,70.0,40.0,37.0,48.0,43.0,30.0,45.0,39.0,48.0,34.0,40.0,58.0,36.0,42.0,47.0,20.0,45.0,40.0,47.0,35.0,52.0,44.0,42.0,44.0,56.0,39.0,40.0,56.0,46.0,50.0,43.0,42.0,36.0,46.0,36.0,52.0,25.0,45.0,38.0,43.0,42.0,35.0,36.0,38.0,40.0,40.0,26.0,44.0,51.0,46.0,50.0,36.0,24.0,28.0,42.0,20.0,45.0,40.0,32.0,41.0,48.0,46.0,38.0,36.0,30.0,27.0,40.0,20.0,37.0,65.0,53.0,64.0,43.0,52.0,55.0,64.0,50.0,56.0,44.0,50.0,67.0,44.0,45.0,56.0,47.0,47.0,51.0,55.0,,,,,,
P386,48.74757281553398,14.228332992212861,58.0,62.0,75.0,69.0,62.0,57.0,59.0,55.0,64.0,59.0,72.0,61.0,67.0,68.0,64.0,62.0,61.0,64.0,25.0,25.0,52.0,39.0,35.0,25.0,25.0,54.0,46.0,41.0,55.0,25.0,65.0,50.0,50.0,35.0,41.0,54.0,25.0,54.0,35.0,45.0,55.0,51.0,48.0,0.0,56.0,45.0,25.0,49.0,33.0,49.0,35.0,49.0,25.0,35.0,25.0,25.0,49.0,44.0,52.0,45.0,49.0,57.0,53.0,25.0,50.0,25.0,51.0,25.0,25.0,55.0,56.0,25.0,45.0,54.0,62.0,56.0,39.0,35.0,25.0,68.0,60.0,55.0,58.0,56.0,53.0,48.0,60.0,57.0,52.0,61.0,61.0,51.0,55.0,63.0,52.0,58.0,61.0,58.0,58.0,54.0,65.0,52.0,58.0,,,,,,
P391,50.20388349514563,10.723219467631884,70.0,65.0,60.0,73.0,58.0,52.0,56.0,56.0,65.0,55.0,68.0,64.0,63.0,50.0,50.0,30.0,42.0,65.0,58.0,36.0,53.0,52.0,45.0,39.0,45.0,38.0,40.0,55.0,40.0,53.0,47.0,30.0,50.0,52.0,65.0,40.0,65.0,36.0,62.0,46.0,38.0,42.0,55.0,50.0,46.0,54.0,65.0,52.0,47.0,65.0,30.0,40.0,48.0,50.0,52.0,65.0,45.0,50.0,48.0,30.0,48.0,55.0,30.0,46.0,58.0,45.0,30.0,30.0,65.0,31.0,46.0,30.0,48.0,48.0,37.0,40.0,44.0,55.0,50.0,32.0,55.0,40.0,33.0,56.0,62.0,46.0,55.0,56.0,54.0,60.0,58.0,54.0,55.0,58.0,57.0,43.0,60.0,66.0,48.0,48.0,60.0,58.0,60.0,,,,,,
P402,55.375,17.96662899047992,86.0,79.0,70.0,88.0,68.0,81.0,82.0,80.0,83.0,71.0,83.0,58.0,78.0,75.0,70.0,62.0,38.0,63.0,56.0,63.0,42.0,67.0,65.0,52.0,42.0,47.0,58.0,51.0,61.0,52.0,39.0,87.0,40.0,47.0,58.0,65.0,20.0,54.0,46.0,63.0,43.0,48.0,34.0,45.0,47.0,46.0,76.0,38.0,10.0,64.0,45.0,44.0,66.0,33.0,50.0,53.0,20.0,61.0,68.0,27.0,56.0,61.0,25.0,58.0,56.0,66.0,44.0,45.0,66.0,55.0,74.0,50.0,61.0,54.0,15.0,10.0,41.0,36.0,31.0,58.0,59.0,38.0,55.0,45.0,28.0,59.0,60.0,0.0,61.0,40.0,76.0,61.0,51.0,67.0,61.0,73.0,57.0,75.0,57.0,70.0,71.0,69.0,78.0,78.0,,,,,
P406,47.79611650485437,13.968002105162462,73.0,59.0,65.0,60.0,70.0,50.0,58.0,59.0,62.0,67.0,66.0,60.0,49.0,59.0,62.0,59.0,60.0,61.0,75.0,22.0,57.0,56.0,50.0,23.0,52.0,27.0,56.0,44.0,20.0,56.0,52.0,34.0,46.0,21.0,42.0,47.0,50.0,44.0,30.0,20.0,52.0,48.0,52.0,44.0,20.0,52.0,45.0,51.0,43.0,50.0,59.0,50.0,39.0,31.0,37.0,34.0,23.0,25.0,45.0,57.0,68.0,28.0,56.0,52.0,56.0,51.0,57.0,29.0,50.0,50.0,35.0,44.0,57.0,49.0,45.0,47.0,43.0,36.0,22.0,24.0,20.0,20.0,55.0,27.0,54.0,61.0,60.0,57.0,20.0,54.0,46.0,59.0,52.0,60.0,57.0,54.0,43.0,58.0,55.0,50.0,69.0,52.0,61.0,,,,,,
P418,48.69230769230769,17.064740758274787,82.0,75.0,70.0,75.0,70.0,72.0,75.0,62.0,67.0,68.0,63.0,78.0,65.0,40.0,65.0,68.0,50.0,45.0,40.0,32.0,30.0,42.0,45.0,52.0,50.0,48.0,45.0,55.0,55.0,35.0,10.0,10.0,42.0,45.0,30.0,40.0,20.0,60.0,35.0,42.0,45.0,58.0,45.0,15.0,35.0,20.0,55.0,65.0,30.0,30.0,62.0,30.0,10.0,68.0,28.0,45.0,10.0,45.0,50.0,38.0,10.0,43.0,10.0,62.0,54.0,30.0,55.0,25.0,58.0,45.0,48.0,38.0,42.0,35.0,52.0,50.0,36.0,55.0,55.0,40.0,45.0,45.0,55.0,55.0,62.0,60.0,52.0,58.0,40.0,66.0,50.0,62.0,55.0,66.0,64.0,60.0,63.0,65.0,35.0,60.0,60.0,65.0,63.0,78.0,,,,,
P434,44.40384615384615,16.98744209547086,63.0,62.0,64.0,59.0,68.0,59.0,49.0,62.0,60.0,72.0,68.0,57.0,63.0,60.0,53.0,70.0,58.0,62.0,70.0,26.0,22.0,49.0,47.0,22.0,26.0,52.0,54.0,41.0,50.0,33.0,48.0,39.0,10.0,33.0,55.0,30.0,18.0,47.0,10.0,46.0,38.0,61.0,54.0,15.0,50.0,42.0,25.0,18.0,44.0,21.0,48.0,64.0,0.0,48.0,23.0,50.0,47.0,0.0,51.0,27.0,54.0,32.0,37.0,49.0,38.0,47.0,47.0,32.0,35.0,33.0,22.0,37.0,57.0,9.0,44.0,3.0,13.0,45.0,6.0,51.0,55.0,57.0,46.0,65.0,52.0,49.0,61.0,46.0,47.0,54.0,50.0,49.0,43.0,60.0,48.0,46.0,57.0,50.0,48.0,46.0,58.0,55.0,61.0,61.0,,,,,
P438,41.728155339805824,15.746268885636693,68.0,56.0,73.0,52.0,60.0,68.0,52.0,69.0,80.0,59.0,62.0,60.0,69.0,60.0,50.0,60.0,44.0,25.0,42.0,20.0,40.0,49.0,25.0,33.0,10.0,28.0,22.0,40.0,50.0,18.0,10.0,40.0,46.0,30.0,41.0,20.0,24.0,47.0,43.0,30.0,27.0,45.0,35.0,43.0,60.0,20.0,40.0,40.0,37.0,10.0,44.0,18.0,46.0,20.0,30.0,32.0,45.0,42.0,48.0,40.0,24.0,18.0,40.0,55.0,15.0,20.0,20.0,66.0,38.0,45.0,18.0,43.0,50.0,49.0,25.0,34.0,20.0,25.0,35.0,20.0,54.0,34.0,54.0,35.0,42.0,42.0,46.0,50.0,60.0,53.0,50.0,54.0,56.0,60.0,45.0,45.0,47.0,66.0,40.0,50.0,50.0,60.0,48.0,,,,,,
P443,49.89320388349515,11.20128898513971,66.0,64.0,59.0,57.0,57.0,64.0,56.0,54.0,64.0,62.0,62.0,64.0,62.0,58.0,60.0,38.0,44.0,49.0,39.0,38.0,30.0,50.0,52.0,35.0,37.0,40.0,40.0,50.0,40.0,30.0,30.0,54.0,20.0,50.0,52.0,35.0,59.0,49.0,44.0,30.0,62.0,49.0,44.0,44.0,39.0,57.0,62.0,57.0,30.0,53.0,30.0,52.0,49.0,49.0,30.0,47.0,35.0,49.0,54.0,43.0,40.0,59.0,54.0,30.0,35.0,53.0,41.0,51.0,35.0,30.0,59.0,35.0,59.0,33.0,64.0,59.0,59.0,49.0,59.0,58.0,57.0,57.0,57.0,57.0,54.0,57.0,61.0,58.0,55.0,52.0,48.0,63.0,54.0,62.0,57.0,57.0,59.0,65.0,54.0,62.0,68.0,54.0,30.0,,,,,,
P446,48.98039215686274,12.240154978761352,68.0,67.0,64.0,68.0,66.0,56.0,60.0,60.0,60.0,58.0,58.0,56.0,58.0,63.0,61.0,64.0,57.0,52.0,46.0,54.0,34.0,40.0,54.0,46.0,48.0,56.0,53.0,30.0,31.0,53.0,48.0,40.0,45.0,59.0,42.0,35.0,56.0,35.0,43.0,47.0,64.0,52.0,45.0,42.0,30.0,20.0,31.0,55.0,40.0,54.0,49.0,60.0,47.0,43.0,35.0,43.0,40.0,42.0,43.0,53.0,40.0,20.0,47.0,48.0,30.0,2.0,45.0,15.0,45.0,58.0,39.0,48.0,60.0,52.0,50.0,45.0,45.0,12.0,54.0,55.0,54.0,45.0,50.0,55.0,49.0,55.0,52.0,54.0,54.0,56.0,60.0,62.0,54.0,54.0,55.0,64.0,59.0,42.0,60.0,62.0,53.0,58.0,,,,,,,
P449,68.63106796116504,18.703564875294646,90.0,90.0,83.0,75.0,83.0,85.0,90.0,85.0,90.0,89.0,81.0,88.0,92.0,70.0,70.0,80.0,70.0,87.0,85.0,80.0,75.0,90.0,70.0,40.0,60.0,65.0,65.0,45.0,60.0,70.0,80.0,75.0,65.0,60.0,75.0,80.0,45.0,45.0,45.0,40.0,40.0,78.0,60.0,60.0,55.0,60.0,65.0,82.0,60.0,65.0,60.0,65.0,55.0,70.0,88.0,50.0,80.0,45.0,72.0,83.0,0.0,50.0,65.0,83.0,40.0,80.0,86.0,55.0,60.0,85.0,60.0,10.0,75.0,55.0,60.0,10.0,86.0,73.0,10.0,70.0,60.0,62.0,79.0,65.0,78.0,80.0,80.0,75.0,75.0,50.0,87.0,85.0,84.0,78.0,88.0,55.0,85.0,90.0,90.0,79.0,70.0,75.0,80.0,,,,,,
P453,53.01904761904762,19.11150527037663,83.0,81.0,74.0,68.0,76.0,62.0,67.0,62.0,71.0,77.0,67.0,74.0,69.0,80.0,73.0,78.0,82.0,63.0,68.0,72.0,51.0,70.0,71.0,68.0,67.0,41.0,53.0,58.0,36.0,62.0,49.0,55.0,59.0,56.0,67.0,65.0,8.0,36.0,61.0,60.0,50.0,65.0,57.0,7.0,59.0,35.0,10.0,57.0,52.0,67.0,24.0,54.0,55.0,55.0,72.0,46.0,65.0,24.0,30.0,52.0,53.0,30.0,45.0,42.0,56.0,5.0,53.0,54.0,49.0,60.0,35.0,57.0,50.0,62.0,71.0,52.0,58.0,53.0,21.0,43.0,40.0,40.0,57.0,5.0,54.0,58.0,46.0,5.0,46.0,57.0,54.0,7.0,13.0,58.0,5.0,38.0,48.0,75.0,56.0,63.0,56.0,54.0,72.0,66.0,69.0,,,,
P454,58.32692307692308,16.58074816943141,69.0,78.0,72.0,70.0,75.0,76.0,69.0,66.0,78.0,80.0,74.0,69.0,80.0,70.0,75.0,74.0,72.0,68.0,72.0,68.0,69.0,72.0,63.0,45.0,50.0,20.0,5.0,40.0,50.0,57.0,45.0,61.0,61.0,65.0,50.0,10.0,58.0,35.0,69.0,52.0,10.0,54.0,60.0,10.0,48.0,65.0,58.0,5.0,71.0,71.0,52.0,40.0,60.0,50.0,50.0,60.0,52.0,45.0,55.0,65.0,65.0,30.0,62.0,60.0,45.0,40.0,62.0,68.0,75.0,60.0,60.0,63.0,72.0,60.0,66.0,70.0,50.0,60.0,35.0,61.0,60.0,20.0,60.0,67.0,50.0,64.0,35.0,65.0,60.0,70.0,68.0,68.0,69.0,65.0,69.0,70.0,68.0,61.0,68.0,62.0,75.0,65.0,65.0,65.0,,,,,
